CAMPAÑA FINAL;MES;BASE;Altas;Ingresos
ABAI Masivo;1/01/2024;Adicionales;2935; $ 51.136.505 
ABAI Masivo;1/02/2024;Adicionales;2588; $ 45.090.724 
ABAI Masivo;1/03/2024;Adicionales;1944; $ 33.870.312 
ABAI Masivo;1/04/2024;Adicionales;2289; $ 39.881.247 
ABAI Masivo;1/05/2024;Adicionales;2367; $ 41.240.241 
ABAI Masivo;1/06/2024;Adicionales;2500; $ 43.557.500 
ABAI Masivo;1/07/2024;Adicionales;2200; $ 38.330.600 
ABAI Masivo;1/08/2024;Adicionales;1975; $ 34.410.425 
ABAI Masivo;1/09/2024;Adicionales;1974; $ 34.393.002 
ABAI Masivo;1/10/2024;Adicionales;2038; $ 35.508.074 
ABAI Masivo;1/11/2024;Adicionales;1899; $ 33.086.277 
ABAI Masivo;1/12/2024;Adicionales;1899; $ 33.086.277 
ABAI Masivo;1/01/2024;Convergencia Fijo;77; $ -   
ABAI Masivo;1/02/2024;Convergencia Fijo;69; $ -   
ABAI Masivo;1/03/2024;Convergencia Fijo;70; $ -   
ABAI Masivo;1/04/2024;Convergencia Fijo;84; $ -   
ABAI Masivo;1/05/2024;Convergencia Fijo;76; $ -   
ABAI Masivo;1/06/2024;Convergencia Fijo;68; $ -   
ABAI Masivo;1/07/2024;Convergencia Fijo;53; $ -   
ABAI Masivo;1/08/2024;Convergencia Fijo;52; $ -   
ABAI Masivo;1/09/2024;Convergencia Fijo;50; $ -   
ABAI Masivo;1/10/2024;Convergencia Fijo;52; $ -   
ABAI Masivo;1/11/2024;Convergencia Fijo;45; $ -   
ABAI Masivo;1/12/2024;Convergencia Fijo;45; $ -   
ABAI Masivo;1/01/2024;Convergencia Móvil;59; $ -   
ABAI Masivo;1/02/2024;Convergencia Móvil;56; $ -   
ABAI Masivo;1/03/2024;Convergencia Móvil;58; $ -   
ABAI Masivo;1/04/2024;Convergencia Móvil;70; $ -   
ABAI Masivo;1/05/2024;Convergencia Móvil;66; $ -   
ABAI Masivo;1/06/2024;Convergencia Móvil;28; $ -   
ABAI Masivo;1/07/2024;Convergencia Móvil;30; $ -   
ABAI Masivo;1/09/2024;Convergencia Móvil;29; $ -   
ABAI Masivo;1/10/2024;Convergencia Móvil;41; $ -   
ABAI Masivo;1/12/2024;Convergencia Móvil;26; $ -   
ABAI Masivo;1/11/2024;Convergencia Móvil;26; $ -   
ABAI Masivo;1/11/2024;Habilitador Internet;199; $ 19.011.502 
ABAI Masivo;1/12/2024;Habilitador Internet;195; $ -   
ABAI Masivo;1/01/2024;Línea Nueva;10; $ 335.200 
ABAI Masivo;1/02/2024;Línea Nueva;6; $ 201.120 
ABAI Masivo;1/03/2024;Línea Nueva;9; $ 301.680 
ABAI Masivo;1/04/2024;Línea Nueva;10; $ 335.200 
ABAI Masivo;1/05/2024;Línea Nueva;10; $ 335.200 
ABAI Masivo;1/06/2024;Línea Nueva;9; $ 301.680 
ABAI Masivo;1/07/2024;Línea Nueva;9; $ 301.680 
ABAI Masivo;1/08/2024;Línea Nueva;10; $ 335.200 
ABAI Masivo;1/09/2024;Línea Nueva;9; $ 301.680 
ABAI Masivo;1/10/2024;Línea Nueva;7; $ 234.640 
ABAI Masivo;1/11/2024;Línea Nueva;7; $ 234.640 
ABAI Masivo;1/12/2024;Línea Nueva;8; $ 268.160 
ABAI Masivo;1/01/2024;Migraciones;238; $ 7.977.760 
ABAI Masivo;1/02/2024;Migraciones;203; $ 6.804.560 
ABAI Masivo;1/03/2024;Migraciones;207; $ 6.938.640 
ABAI Masivo;1/04/2024;Migraciones;247; $ 8.279.440 
ABAI Masivo;1/05/2024;Migraciones;231; $ 7.743.120 
ABAI Masivo;1/06/2024;Migraciones;206; $ 6.905.120 
ABAI Masivo;1/07/2024;Migraciones;220; $ 7.374.400 
ABAI Masivo;1/08/2024;Migraciones;217; $ 7.273.840 
ABAI Masivo;1/09/2024;Migraciones;202; $ 6.771.040 
ABAI Masivo;1/10/2024;Migraciones;163; $ 5.463.760 
ABAI Masivo;1/11/2024;Migraciones;150; $ 5.028.000 
ABAI Masivo;1/12/2024;Migraciones;169; $ 5.664.880 
ABAI Masivo;1/01/2024;Portabilidad Pospago;245; $ 8.212.400 
ABAI Masivo;1/02/2024;Portabilidad Pospago;215; $ 7.206.800 
ABAI Masivo;1/03/2024;Portabilidad Pospago;212; $ 7.106.240 
ABAI Masivo;1/04/2024;Portabilidad Pospago;253; $ 8.480.560 
ABAI Masivo;1/05/2024;Portabilidad Pospago;237; $ 7.944.240 
ABAI Masivo;1/06/2024;Portabilidad Pospago;212; $ 7.106.240 
ABAI Masivo;1/07/2024;Portabilidad Pospago;227; $ 7.609.040 
ABAI Masivo;1/08/2024;Portabilidad Pospago;223; $ 7.474.960 
ABAI Masivo;1/09/2024;Portabilidad Pospago;208; $ 6.972.160 
